#{"t_start": 1754382840.9770148, "env_id": "None"}
r,l,t
69.073211,331,4.795389
-211.334442,342,6.601871
44.086663,318,8.242968
90.894515,587,11.271047
-381.156233,357,13.043336
-300.527845,352,14.844015
-332.319061,444,17.089264
-517.792969,515,19.751832
-361.574535,286,21.229748
-671.15629,413,23.357595
-1043.139817,687,27.097263
-202.48697,236,28.342648
-818.387946,478,30.826107
-1322.02849,620,34.054901
-1541.684253,1067,39.509619
-409.843755,472,41.871828
29.548764,209,42.939783
-700.767211,574,46.132418
-160.062796,364,48.008093
15.074629,269,49.413628
-183.227755,316,51.022431
-362.827423,407,53.078649
209.966176,936,57.75384
83.842956,281,59.226581
-599.539317,400,61.271227
108.988613,379,63.175405
-292.220385,485,65.593931
-251.372217,279,67.148194
36.535027,222,68.255745
-49.775334,548,71.052027
-39.958008,319,72.617111
110.926304,333,74.289422
-19.696509,261,75.578194
-457.233543,617,78.629803
-56.932216,374,80.544593
51.04653,350,82.240627
-69.244833,224,83.38615
-259.78903,371,85.204004
-262.308299,1492,92.731938
-188.990493,513,95.298016
-177.399897,223,96.388001
-91.208959,225,97.529094
-172.183182,393,99.429071
23.844097,375,101.291068
119.813983,963,106.000988
-67.73589,777,110.183154
58.507394,299,111.647991
34.740359,240,112.895662
-36.193534,1124,118.438339
-386.105466,298,119.95161
12.71252,1140,125.604109
67.22584,971,130.610959
82.410609,350,132.335661
40.643825,979,137.150347
76.406612,319,138.755042
20.242721,758,142.552577
30.088583,332,144.196128
11.506116,174,145.065356
-14.576158,1160,150.901106
72.53071,294,152.404565
14.007788,926,156.971254
11.744826,1470,164.116933
88.875703,342,165.741351
32.627855,210,166.782422
74.905708,350,168.591517
69.460107,886,173.109316
62.330586,1570,180.52875
51.36309,322,182.074962
74.345145,470,184.287935
32.92066,292,185.705173
46.477914,286,187.043096
25.326167,214,188.015094
59.240316,240,189.336662
30.772242,223,190.399274
94.813419,721,193.753837
116.523913,661,196.832491
31.076749,189,197.72825
35.301615,199,198.70778
125.868542,1446,205.62417
35.267735,218,206.709268
24.114437,202,207.657822
117.615346,314,209.401822
38.018418,208,210.360652
95.820578,2261,220.973451
69.777971,1477,228.139046
78.80652,367,229.903879
-4.723027,827,233.801394
-156.010228,444,235.924954
168.814627,422,237.894435
127.070285,856,241.955719
126.142851,1020,246.237813
-99.614558,1571,252.528596
126.33821,1957,261.826612
46.197429,268,263.340598
-213.758613,901,267.672815
246.522645,1152,272.367986
135.422871,354,273.769769
59.337701,266,274.765266
137.608451,1045,278.685393
-160.66312,355,280.044288
117.955601,1488,286.049778
87.810707,351,287.975748
43.931607,367,289.94384
-3.558445,441,292.252697
81.488986,437,294.651523
63.887392,354,296.171605
264.014994,1162,301.297663
150.531192,429,302.919978
212.188754,1321,307.992599
138.150417,561,310.076862
177.374187,1215,314.599069
515.062203,3600,331.051054
44.509073,214,331.943887
723.689157,1589,338.187056
264.204485,1042,342.084141
200.416431,661,345.101401
249.789305,1899,354.723619
331.480521,1189,359.584553
171.917327,427,361.262269
54.655027,240,362.209503
