#{"t_start": 1754382840.6155393, "env_id": "None"}
r,l,t
-213.258313,353,5.29999
83.700223,292,6.780478
-182.684865,523,9.51364
-201.66172,234,10.68674
30.228784,272,12.092735
-389.086209,324,13.721321
-162.67772,316,15.341056
-1055.845326,577,18.235676
-820.969652,439,20.54233
-416.289628,437,22.764549
-890.170413,711,26.706469
-240.65604,437,28.983235
-563.666071,590,32.048709
-30.392559,224,33.237167
-677.828451,454,35.528975
-1915.97731,1414,42.677033
-1530.880592,794,46.964955
-204.596327,292,48.511583
-1744.556353,924,53.25308
-373.334683,368,55.120238
-107.088331,319,56.708218
-448.545637,447,58.970892
-657.074427,343,60.769455
-194.393181,328,62.401426
-206.099467,516,64.97845
136.102948,842,69.329263
11.070309,859,73.646162
-204.807425,308,75.18791
-150.194137,353,76.943498
-519.387023,754,80.744563
-313.553403,638,83.88964
-144.320461,830,88.228539
120.496271,463,90.431507
-37.826978,257,91.708551
24.22673,936,96.348423
-31.793236,692,99.73763
77.466483,1091,105.092738
-720.22095,343,106.788261
24.653625,205,108.044349
-19.598593,204,109.081758
45.335701,846,113.399145
122.692041,908,117.833523
6.912833,244,119.112516
76.358556,373,120.99963
59.040738,247,122.187715
100.862784,466,124.467854
45.535867,441,126.673556
66.69905,1857,136.046828
0.547532,236,137.178858
-149.510898,826,141.303265
-47.893306,270,142.660868
30.322358,244,143.87046
29.682533,2137,154.580926
19.874636,202,155.5954
35.83016,368,157.432817
39.549753,403,159.457893
60.547004,1107,164.750122
43.952919,277,166.068435
42.98674,279,167.466118
21.463591,214,168.553182
117.476076,396,170.72949
91.158079,1172,176.307187
34.626434,702,179.65982
47.990034,793,183.394162
85.311396,1054,188.41414
1.13707,3280,204.078201
51.550139,236,205.225343
-70.058156,1331,211.821957
96.362908,302,213.277014
233.428995,672,216.340463
43.392277,328,217.841065
71.709404,282,219.208376
0.125339,259,220.41568
68.524663,516,222.875414
32.312924,197,223.805645
39.313254,817,227.649897
61.908555,1432,234.664403
-130.056712,1701,242.716313
53.797062,292,244.104241
19.96577,389,245.602511
125.040876,765,248.862785
-143.148436,2591,259.886154
17.981293,1441,267.332178
133.398461,402,269.103659
8.293282,411,270.801003
63.249729,915,274.375869
49.085877,360,275.735553
46.681935,462,277.437602
-385.284714,1129,281.713571
211.463757,516,283.878255
133.796984,718,286.95728
64.611738,3600,303.861332
631.127317,1748,310.541234
135.433558,459,312.248075
60.964793,334,313.463004
267.767995,953,317.946075
65.156985,333,319.550946
63.433562,245,320.71963
79.032906,275,322.15399
252.014912,784,325.638671
233.784072,469,327.592657
125.517785,585,329.986231
108.586062,553,332.231105
300.866845,589,334.487623
55.867315,221,335.529847
251.276964,3074,348.515598
125.957242,402,350.583905
26.132756,181,351.519605
447.008722,1729,359.170199
440.705665,930,362.830894
752.893769,3600,377.800452
329.355523,890,382.282145
544.256731,1883,389.868503
119.724072,403,391.429806
296.206448,2319,400.061038
23.910587,266,401.067276
62.174802,239,402.208048
353.284514,2259,412.794824
92.693021,295,413.990697
111.085563,311,415.318223
62.790839,370,416.832431
122.766488,327,418.112705
360.12003,2204,426.679026
64.575104,331,427.882455
117.937214,343,429.167057
99.938906,298,430.664151
141.074032,671,434.186481
255.515304,664,437.690266
474.288118,2884,449.914727
492.074705,1788,457.208829
476.438938,1629,464.955241
84.929337,294,466.522116
101.347615,406,468.451287
168.739823,385,470.046364
311.647291,668,472.83343
1075.661467,3430,485.822324
227.743535,826,489.534755
80.425311,398,491.745138
52.274193,318,493.592032
119.009396,330,495.232424
111.975551,335,496.897086
319.020674,2277,505.957646
55.345604,231,506.857312
57.569622,229,507.722833
910.871781,3600,523.123474
52.203923,221,524.269343
322.418655,2327,534.098275
-4.713763,313,535.313328
373.370046,3405,549.299391
147.705915,451,551.724815
508.701812,1652,559.241802
125.750856,477,561.234412
220.77979,1410,566.762553
56.217566,228,567.639524
1075.19658,3600,583.344138
124.631925,558,585.748613
85.02951,278,586.918364
76.33529,258,588.02221
48.928419,212,588.919629
107.413709,399,590.562245
199.61796,2052,598.616581
47.15135,211,599.40897
53.38796,283,600.470351
84.691757,274,601.478835
502.208338,1692,609.18636
457.561878,1053,614.549817
71.80376,328,616.09353
57.819626,234,617.10419
215.262708,1242,622.001369
46.575285,336,623.295887
290.957387,3160,635.570119
1560.856406,3600,652.020408
259.012873,1090,656.207384
55.690588,221,657.108589
584.401556,3600,672.671005
1969.688212,3600,687.057791
609.165738,1724,694.402997
191.941402,623,697.658679
38.873988,202,698.690686
106.53047,1235,704.357769
66.118448,242,705.367796
33.735438,194,706.154213
87.861029,271,707.176242
148.863329,645,709.600568
77.138564,260,710.616074
165.365838,748,713.409449
213.310517,487,715.334349
340.036512,973,719.183219
625.677358,3600,735.692535
238.680502,1523,741.653682
268.188461,1593,747.562318
464.800685,2606,760.156952
105.407242,2036,768.163062
553.029144,3600,783.349673
1158.087815,3600,798.457408
219.810874,1037,802.306507
89.951982,334,803.531277
390.662151,1077,808.378757
63.778219,264,809.812104
133.413266,337,811.593009
90.80974,301,813.166299
177.607279,404,815.306879
71.177013,273,816.476645
88.373544,280,817.624192
47.769573,213,818.490814
56.615118,232,819.426755
284.053509,1181,824.329
99.521551,349,825.630872
496.987953,1181,830.068121
406.674795,1187,834.56852
118.958875,507,836.873125
1152.118365,3234,851.501001
439.292337,959,855.108483
124.525146,338,856.365208
539.853945,1262,861.347167
85.290944,289,862.392673
53.79215,306,863.497978
204.978111,1389,870.671454
613.736872,2746,882.474438
867.64242,3600,897.224609
677.11531,1607,904.639835
981.87373,3600,918.616117
72.427376,436,920.222143
524.363401,1434,927.344449
56.983595,250,928.570489
847.141956,3600,943.38459
140.257196,370,945.07078
202.256183,666,947.64313
538.094884,1273,952.912504
218.875389,471,955.397353
756.344463,3026,968.782056
832.083834,2200,976.986051
714.504973,1994,985.955729
992.13051,2567,997.184851
53.496747,226,998.051068
1056.434467,3600,1012.745466
1248.30626,3600,1028.23738
39.129779,208,1029.05171
61.270535,234,1029.974345
298.384203,1400,1035.398798
906.154553,3600,1052.591861
9.128268,283,1053.716516
38.919495,352,1055.043153
737.309796,3600,1069.144558
670.80204,3600,1085.124011
48.709644,228,1086.012831
747.286261,1301,1090.858457
309.764847,1153,1095.173624
366.777886,804,1099.246643
293.993983,813,1103.193249
83.502221,270,1104.403114
302.986044,2453,1114.292844
142.458497,429,1115.989667
159.502055,884,1119.523319
176.604561,428,1121.110449
184.754173,444,1122.818689
